row,url,skip_reason
870,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=52507&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
921,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=108497&StatusType=","After 2 retries: locator.click: Timeout 30000ms exceeded.
Call log:
[2m  - waiting for locator('button[name='butReOpen'"
926,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=61801&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
927,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=62061&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
928,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=62063&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
929,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=62586&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
931,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=62585&StatusType=","After 2 retries: locator.click: Timeout 30000ms exceeded.
Call log:
[2m  - waiting for locator('button[name='butReOpen'"
932,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=62201&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
934,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=62656&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
935,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=62678&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
936,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=62681&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
937,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=64960&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
938,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=64991&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
951,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=65530&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
952,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=65546&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
